"","X","Pollster","Dates","start_date","end_date","observations","sample_subpopulation","McCain","Obama2008","Barr","Nader","Other","Undecided","Margin","Year","State","EndDaysUntil","StartDaysUntil","MidDaysUntil","Dem2P","Rep2P","DemVote","RepVote","VoteErrorAbs","McKinney","NV","Refuse","Not.Voting","Paul","survey_house","ActualMargin","PollMargin","Romney","Obama2012","poll_slug","question_text","margin_of_error","mode","partisanship","partisan_affiliation","None","Refused","Trump","Clinton","Johnson","McMullin","MidDaysFactor","competitive","MarginError","MarginErrorAbs","VoteError","PVRepVote","PVDemVote","PVMargin"
"1301",1301,"Suffolk","9/10-13/08","9/10/2008","9/13/2008",600,"LV",46,42,"1","1","-","9","+4R",2008,"OH",52,55,53.5,0.477,0.523,0.523,0.477,4.6,"1","-",NA,NA,NA,"Suffolk",5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","competitive",9,9,0.046,0.510587440047892,0.489412559952108,-0.0210733909237597
"1302",1302,"ARG","9/10-13/08","9/10/2008","9/13/2008",600,"LV",50,44,"-","-","-","6","+6R",2008,"OH",52,55,53.5,0.468,0.532,0.523,0.477,5.5,"-","-",NA,NA,NA,"ARG",5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","competitive",11,11,0.055,0.510587440047892,0.489412559952108,-0.0210733909237597
"1303",1303,"Zogby (Internet)","9/9-12/08","9/9/2008","9/12/2008",847,"LV",50,44,"-","-","-","6","+6R",2008,"OH",53,56,54.5,0.468,0.532,0.523,0.477,5.5,"-","-",NA,NA,NA,"Zogby (Internet)",5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","competitive",11,11,0.055,0.510587440047892,0.489412559952108,-0.0210733909237597
"1304",1304,"InsiderAdvantage","9/10/2008","9/10/2008","9/10/2008",503,"LV",48,47,"-","-","2","3","+1R",2008,"OH",55,55,55,0.495,0.505,0.523,0.477,2.8,"-","-",NA,NA,NA,"InsiderAdvantage",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","competitive",6,6,0.028,0.510587440047892,0.489412559952108,-0.0210733909237597
"1305",1305,"University of Cincinnati","9/5-10/08","9/5/2008","9/10/2008",775,"LV",48,44,"-","-","5","4","+4R",2008,"OH",55,60,57.5,0.478,0.522,0.523,0.477,4.5,"-","-",NA,NA,NA,"University of Cincinnati",5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","competitive",9,9,0.045,0.510587440047892,0.489412559952108,-0.0210733909237597
"1306",1306,"Strategic Vision (R)","9/7-9/08","9/7/2008","9/9/2008",1200,"LV",48,44,"-","-","2","6","+4R",2008,"OH",56,58,57,0.478,0.522,0.523,0.477,4.5,"-","-",NA,NA,NA,"Strategic Vision (R)",5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","competitive",9,9,0.045,0.510587440047892,0.489412559952108,-0.0210733909237597
"1307",1307,"Quinnipiac","9/5-9/08","9/5/2008","9/9/2008",1367,"LV",44,49,"-","-","1","5","+5D",2008,"OH",56,60,58,0.527,0.473,0.523,0.477,0.4,"-","-",NA,NA,NA,"Quinnipiac",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","competitive",0,0,-0.004,0.510587440047892,0.489412559952108,-0.0210733909237597
"1308",1308,"FOX/Rasmussen","9/7/2008","9/7/2008","9/7/2008",600,"LV",51,44,"0","1","-","3","+7R",2008,"OH",58,58,58,0.463,0.537,0.523,0.477,6,"0","-",NA,NA,NA,"FOX/Rasmussen",5,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","competitive",12,12,0.06,0.510587440047892,0.489412559952108,-0.0210733909237597
"1309",1309,"CNN/Time","8/31-9/2/08","8/31/2008","9/2/2008",685,"RV",45,47,"-","-","1","7","+2D",2008,"OH",63,65,64,0.511,0.489,0.523,0.477,1.2,"-","-",NA,NA,NA,"CNN/Time",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Weeks to Go","competitive",3,3,0.012,0.510587440047892,0.489412559952108,-0.0210733909237597
"1310",1310,"Quinnipiac","8/17-24/08","8/17/2008","8/24/2008",1234,"LV",43,44,"-","-","2","11","+1D",2008,"OH",72,79,75.5,0.506,0.494,0.523,0.477,1.7,"-","-",NA,NA,NA,"Quinnipiac",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11 Weeks to Go","competitive",4,4,0.017,0.510587440047892,0.489412559952108,-0.0210733909237597
"1311",1311,"Columbus Dispatch","8/12-21/08","8/12/2008","8/21/2008",2102,"RV",42,41,"1","1","-","15","+1R",2008,"OH",75,84,79.5,0.494,0.506,0.523,0.477,2.9,"-","-",NA,NA,NA,"Columbus Dispatch",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 Weeks to Go","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1312",1312,"Zogby (Internet)","8/15-19/08","8/15/2008","8/19/2008",683,"LV",36,41,"8","1","-","13","+5D",2008,"OH",77,81,79,0.532,0.468,0.523,0.477,0.9,"-","-",NA,NA,NA,"Zogby (Internet)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 Weeks to Go","competitive",0,0,-0.009,0.510587440047892,0.489412559952108,-0.0210733909237597
"1313",1313,"Rasmussen","8/18/2008","8/18/2008","8/18/2008",700,"LV",48,43,"-","-","2","6","+5R",2008,"OH",78,78,78,0.473,0.527,0.523,0.477,5,"-","-",NA,NA,NA,"Rasmussen",5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 Weeks to Go","competitive",10,10,0.05,0.510587440047892,0.489412559952108,-0.0210733909237597
"1314",1314,"PPP (D)","8/12-14/08","8/12/2008","8/14/2008",950,"LV",45,45,"-","-","-","11","0",2008,"OH",82,84,83,0.5,0.5,0.523,0.477,2.3,"-","-",NA,NA,NA,"PPP (D)",5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 Weeks to Go","competitive",5,5,0.023,0.510587440047892,0.489412559952108,-0.0210733909237597
"1315",1315,"Quinnipiac","7/23-29/08","7/23/2008","7/29/2008",1229,"LV",44,46,"-","-","1","8","+2D",2008,"OH",98,104,101,0.511,0.489,0.523,0.477,1.2,"-","-",NA,NA,NA,"Quinnipiac",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",3,3,0.012,0.510587440047892,0.489412559952108,-0.0210733909237597
"1316",1316,"Rasmussen","7/21/2008","7/21/2008","7/21/2008",500,"LV",52,42,"-","-","2","4","+10R",2008,"OH",106,106,106,0.447,0.553,0.523,0.477,7.6,"-","-",NA,NA,NA,"Rasmussen",5,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",15,15,0.076,0.510587440047892,0.489412559952108,-0.0210733909237597
"1317",1317,"PPP (D)","7/17-20/08","7/17/2008","7/20/2008",1058,"LV",40,48,"-","-","-","12","+8D",2008,"OH",107,110,108.5,0.545,0.455,0.523,0.477,2.2,"-","-",NA,NA,NA,"PPP (D)",5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",-3,3,-0.022,0.510587440047892,0.489412559952108,-0.0210733909237597
"1318",1318,"Zogby (Internet)","6/11-30/08","6/11/2008","6/30/2008",2172,"LV",38,43,"7","2","4","8","+5D",2008,"OH",127,146,136.5,0.531,0.469,0.523,0.477,0.8,"-","-",NA,NA,NA,"Zogby (Internet)",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",0,0,-0.008,0.510587440047892,0.489412559952108,-0.0210733909237597
"1319",1319,"SurveyUSA","6/20-22/08","6/20/2008","6/22/2008",580,"LV",46,48,"-","-","-","7","+2D",2008,"OH",135,137,136,0.511,0.489,0.523,0.477,1.2,"-","-",NA,NA,NA,"SurveyUSA",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",3,3,0.012,0.510587440047892,0.489412559952108,-0.0210733909237597
"1320",1320,"Rasmussen","6/17/2008","6/17/2008","6/17/2008",500,"LV",44,43,"-","-","7","7","+1R",2008,"OH",140,140,140,0.494,0.506,0.523,0.477,2.9,"-","-",NA,NA,NA,"Rasmussen",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1321",1321,"Quinnipiac","6/9-16/08","6/9/2008","6/16/2008",1396,"LV",42,48,"-","-","2","7","+6D",2008,"OH",141,148,144.5,0.533,0.467,0.523,0.477,1,"-","-",NA,NA,NA,"Quinnipiac",5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",-1,1,-0.01,0.510587440047892,0.489412559952108,-0.0210733909237597
"1322",1322,"PPP (D)","6/14-15/08","6/14/2008","6/15/2008",733,"LV",39,50,"-","-","-","11","+11D",2008,"OH",142,143,142.5,0.562,0.438,0.523,0.477,3.9,"-","-",NA,NA,NA,"PPP (D)",5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Summer","competitive",-6,6,-0.039,0.510587440047892,0.489412559952108,-0.0210733909237597
"1323",1323,"Quinnipiac","5/13-20/08","5/13/2008","5/20/2008",1244,"RV",44,40,"-","-","2","9","+4R",2008,"OH",168,175,171.5,0.476,0.524,0.523,0.477,4.7,"-","5",NA,NA,NA,"Quinnipiac",5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",9,9,0.047,0.510587440047892,0.489412559952108,-0.0210733909237597
"1324",1324,"SurveyUSA","5/16-18/08","5/16/2008","5/18/2008",600,"RV",39,48,"-","-","-","13","+9D",2008,"OH",170,172,171,0.552,0.448,0.523,0.477,2.9,"-","-",NA,NA,NA,"SurveyUSA",5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",-4,4,-0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1325",1325,"Rasmussen","5/15/2008","5/15/2008","5/15/2008",500,"LV",45,44,"-","-","5","5","+1R",2008,"OH",173,173,173,0.494,0.506,0.523,0.477,2.9,"-","-",NA,NA,NA,"Rasmussen",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1326",1326,"Quinnipiac","4/23-29/08","4/23/2008","4/29/2008",1127,"RV",43,42,"-","-","2","8","+1R",2008,"OH",189,195,192,0.494,0.506,0.523,0.477,2.9,"-","5",NA,NA,NA,"Quinnipiac",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1327",1327,"SurveyUSA","4/11-13/08","4/11/2008","4/13/2008",527,"RV",47,45,"-","-","8","-","+2R",2008,"OH",205,207,206,0.489,0.511,0.523,0.477,3.4,"-","-",NA,NA,NA,"SurveyUSA",5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",7,7,0.034,0.510587440047892,0.489412559952108,-0.0210733909237597
"1328",1328,"Rasmussen","4/8/2008","4/8/2008","4/8/2008",500,"LV",47,40,"-","-","7","7","+7R",2008,"OH",210,210,210,0.46,0.54,0.523,0.477,6.3,"-","-",NA,NA,NA,"Rasmussen",5,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",12,12,0.063,0.510587440047892,0.489412559952108,-0.0210733909237597
"1329",1329,"Quinnipiac","3/24-31/08","3/24/2008","3/31/2008",1238,"RV",42,43,"-","-","2","8","+1D",2008,"OH",218,225,221.5,0.506,0.494,0.523,0.477,1.7,"-","5",NA,NA,NA,"Quinnipiac",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",4,4,0.017,0.510587440047892,0.489412559952108,-0.0210733909237597
"1330",1330,"PPP (D)","3/15-17/08","3/15/2008","3/17/2008",621,"LV",49,41,"-","-","-","10","+8R",2008,"OH",232,234,233,0.456,0.544,0.523,0.477,6.7,"-","-",NA,NA,NA,"PPP (D)",5,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",13,13,0.067,0.510587440047892,0.489412559952108,-0.0210733909237597
"1331",1331,"SurveyUSA","3/14-16/08","3/14/2008","3/16/2008",532,"RV",50,43,"-","-","-","7","+7R",2008,"OH",233,235,234,0.462,0.538,0.523,0.477,6.1,"-","-",NA,NA,NA,"SurveyUSA",5,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",12,12,0.061,0.510587440047892,0.489412559952108,-0.0210733909237597
"1332",1332,"Rasmussen","3/13/2008","3/13/2008","3/13/2008",500,"LV",46,40,"-","-","9","5","+6R",2008,"OH",236,236,236,0.465,0.535,0.523,0.477,5.8,"-","-",NA,NA,NA,"Rasmussen",5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",11,11,0.058,0.510587440047892,0.489412559952108,-0.0210733909237597
"1333",1333,"SurveyUSA","2/26-28/08","2/26/2008","2/28/2008",632,"RV",40,50,"-","-","-","10","+10D",2008,"OH",250,252,251,0.556,0.444,0.523,0.477,3.3,"-","-",NA,NA,NA,"SurveyUSA",5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",-5,5,-0.033,0.510587440047892,0.489412559952108,-0.0210733909237597
"1334",1334,"University of Cincinnati","2/21-24/08","2/21/2008","2/24/2008",970,"RV",47,48,"-","-","1","4","+1D",2008,"OH",254,257,255.5,0.505,0.495,0.523,0.477,1.8,"-","-",NA,NA,NA,"University of Cincinnati",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",4,4,0.018,0.510587440047892,0.489412559952108,-0.0210733909237597
"1335",1335,"Rasmussen","2/17/2008","2/17/2008","2/17/2008",500,"LV",42,41,"-","-","9","8","+1R",2008,"OH",261,261,261,0.494,0.506,0.523,0.477,2.9,"-","-",NA,NA,NA,"Rasmussen",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1336",1336,"SurveyUSA","2/15-17/08","2/15/2008","2/17/2008",542,"RV",44,47,"-","-","-","8","+3D",2008,"OH",261,263,262,0.516,0.484,0.523,0.477,0.7,"-","-",NA,NA,NA,"SurveyUSA",5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",2,2,0.007,0.510587440047892,0.489412559952108,-0.0210733909237597
"1337",1337,"Quinnipiac","2/6-12/08","2/6/2008","2/12/2008",1748,"RV",42,40,"-","-","3","10","+2R",2008,"OH",266,272,269,0.488,0.512,0.523,0.477,3.5,"-","5",NA,NA,NA,"Quinnipiac",5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary","competitive",7,7,0.035,0.510587440047892,0.489412559952108,-0.0210733909237597
"1338",1338,"SurveyUSA","1/4-6/08","1/4/2008","1/6/2008",535,"RV",50,43,"-","-","-","7","+7R",2008,"OH",303,305,304,0.462,0.538,0.523,0.477,6.1,"-","-",NA,NA,NA,"SurveyUSA",5,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",12,12,0.061,0.510587440047892,0.489412559952108,-0.0210733909237597
"1339",1339,"PPP (D)","1/4/2008","1/4/2008","1/4/2008",946,"LV",45,42,"-","-","-","14","+3R",2008,"OH",305,305,305,0.483,0.517,0.523,0.477,4,"-","-",NA,NA,NA,"PPP (D)",5,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",8,8,0.04,0.510587440047892,0.489412559952108,-0.0210733909237597
"1340",1340,"SurveyUSA","12/13-15/07","12/13/2007","12/15/2007",539,"RV",47,38,"-","-","-","15","+9R",2008,"OH",325,327,326,0.447,0.553,0.523,0.477,7.6,"-","-",NA,NA,NA,"SurveyUSA",5,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",14,14,0.076,0.510587440047892,0.489412559952108,-0.0210733909237597
"1341",1341,"SurveyUSA","12/3/2007","12/3/2007","12/3/2007",643,"RV",51,40,"-","-","-","9","+11R",2008,"OH",337,337,337,0.44,0.56,0.523,0.477,8.3,"-","-",NA,NA,NA,"SurveyUSA",5,-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",16,16,0.083,0.510587440047892,0.489412559952108,-0.0210733909237597
"1342",1342,"SurveyUSA","11/9-11/07","11/9/2007","11/11/2007",533,"RV",52,37,"-","-","-","11","+15R",2008,"OH",359,361,360,0.416,0.584,0.523,0.477,10.7,"-","-",NA,NA,NA,"SurveyUSA",5,-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",20,20,0.107,0.510587440047892,0.489412559952108,-0.0210733909237597
"1343",1343,"Quinnipiac","10/1-8/07","10/1/2007","10/8/2007",946,"RV",39,43,"-","-","3","10","+4D",2008,"OH",393,400,396.5,0.524,0.476,0.523,0.477,0.1,"-","4",NA,NA,NA,"Quinnipiac",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",1,1,-0.001,0.510587440047892,0.489412559952108,-0.0210733909237597
"1344",1344,"Quinnipiac","8/28-9/3/07","8/28/2007","9/3/2007",1430,"RV",42,41,"-","-","3","10","+1R",2008,"OH",428,434,431,0.494,0.506,0.523,0.477,2.9,"-","5",NA,NA,NA,"Quinnipiac",5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",6,6,0.029,0.510587440047892,0.489412559952108,-0.0210733909237597
"1345",1345,"Quinnipiac","7/3-9/07","7/3/2007","7/9/2007",1447,"RV",38,43,"-","-","3","11","+5D",2008,"OH",484,490,487,0.531,0.469,0.523,0.477,0.8,"-","5",NA,NA,NA,"Quinnipiac",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",0,0,-0.008,0.510587440047892,0.489412559952108,-0.0210733909237597
"1346",1346,"Quinnipiac","6/18-25/07","6/18/2007","6/25/2007",1013,"RV",38,43,"-","-","3","11","+5D",2008,"OH",498,505,501.5,0.531,0.469,0.523,0.477,0.8,"-","5",NA,NA,NA,"Quinnipiac",5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",0,0,-0.008,0.510587440047892,0.489412559952108,-0.0210733909237597
"1347",1347,"Quinnipiac","5/8-13/07","5/8/2007","5/13/2007",939,"RV",41,44,"-","-","1","11","+3D",2008,"OH",541,546,543.5,0.518,0.482,0.523,0.477,0.5,"-","3",NA,NA,NA,"Quinnipiac",5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",2,2,0.005,0.510587440047892,0.489412559952108,-0.0210733909237597
"1348",1348,"Quinnipiac","4/17-24/07","4/17/2007","4/24/2007",1083,"RV",42,36,"-","-","2","16","+6R",2008,"OH",560,567,563.5,0.462,0.538,0.523,0.477,6.1,"-","4",NA,NA,NA,"Quinnipiac",5,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",11,11,0.061,0.510587440047892,0.489412559952108,-0.0210733909237597
"1349",1349,"Quinnipiac","3/13-19/07","3/13/2007","3/19/2007",1122,"RV",37,45,"-","-","2","13","+8D",2008,"OH",596,602,599,0.549,0.451,0.523,0.477,2.6,"-","3",NA,NA,NA,"Quinnipiac",5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",-3,3,-0.026,0.510587440047892,0.489412559952108,-0.0210733909237597
"1351",1351,"Quinnipiac","2/25-3/4/07","2/25/2007","3/4/2007",1281,"RV",39,42,"-","-","2","15","+3D",2008,"OH",611,618,614.5,0.519,0.481,0.523,0.477,0.4,"-","3",NA,NA,NA,"Quinnipiac",5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",2,2,0.004,0.510587440047892,0.489412559952108,-0.0210733909237597
"1353",1353,"Quinnipiac","1/23-28/07","1/23/2007","1/28/2007",1305,"RV",41,38,"-","-","1","18","+3R",2008,"OH",646,651,648.5,0.481,0.519,0.523,0.477,4.2,"-","3",NA,NA,NA,"Quinnipiac",5,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pre-Primary","competitive",8,8,0.042,0.510587440047892,0.489412559952108,-0.0210733909237597
"1355",1355,"YouGov/Polimetrix","10/18-11/1/08","10/18/2008","11/1/2008",491,"RV",58,39,"-","-","1","1","+19R",2008,"OK",3,17,10,0.402,0.598,0.343,0.657,5.9,NA,NA,NA,NA,NA,"YouGov/Polimetrix",-31,-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-12,12,-0.059,0.655704016647561,0.344295983352439,-0.311408033295121
"1356",1356,"SurveyUSA","10/28-29/08","10/28/2008","10/29/2008",594,"LV",63,34,"-","-","2","1","+29R",2008,"OK",6,7,6.5,0.351,0.649,0.343,0.657,0.8,NA,NA,NA,NA,NA,"SurveyUSA",-31,-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Last week","noncompetitive",-2,2,-0.008,0.655704016647561,0.344295983352439,-0.311408033295121
"1357",1357,"TVPoll.com","10/24-26/08","10/24/2008","10/26/2008",720,"LV",62,35,"-","-","-","4","+27R",2008,"OK",9,11,10,0.361,0.639,0.343,0.657,1.8,NA,NA,NA,NA,NA,"TVPoll.com",-31,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-4,4,-0.018,0.655704016647561,0.344295983352439,-0.311408033295121
"1358",1358,"TVPoll.com","10/19-20/08","10/19/2008","10/20/2008",763,"LV",64,32,"-","-","-","4","+32R",2008,"OK",15,16,15.5,0.333,0.667,0.343,0.657,1,NA,NA,NA,NA,NA,"TVPoll.com",-31,-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Weeks to Go","noncompetitive",1,1,0.01,0.655704016647561,0.344295983352439,-0.311408033295121
"1359",1359,"SurveyUSA","10/18-19/08","10/18/2008","10/19/2008",561,"LV",59,35,"-","-","3","3","+24R",2008,"OK",16,17,16.5,0.372,0.628,0.343,0.657,2.9,NA,NA,NA,NA,NA,"SurveyUSA",-31,-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Weeks to Go","noncompetitive",-7,7,-0.029,0.655704016647561,0.344295983352439,-0.311408033295121
"1360",1360,"TVPoll.com","10/10-12/08","10/10/2008","10/12/2008",813,"LV",63,32,"-","-","-","5","+31R",2008,"OK",23,25,24,0.337,0.663,0.343,0.657,0.6,NA,NA,NA,NA,NA,"TVPoll.com",-31,-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 Weeks to Go","noncompetitive",0,0,0.006,0.655704016647561,0.344295983352439,-0.311408033295121
"1361",1361,"TVPoll.com","10/4-5/08","10/4/2008","10/5/2008",801,"LV",66,29,"-","-","-","5","+37R",2008,"OK",30,31,30.5,0.305,0.695,0.343,0.657,3.8,NA,NA,NA,NA,NA,"TVPoll.com",-31,-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 Weeks to Go","noncompetitive",6,6,0.038,0.655704016647561,0.344295983352439,-0.311408033295121
"1362",1362,"SurveyUSA","9/28-29/08","9/28/2008","9/29/2008",656,"LV",64,34,"-","-","1","2","+30R",2008,"OK",36,37,36.5,0.347,0.653,0.343,0.657,0.4,NA,NA,NA,NA,NA,"SurveyUSA",-31,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 Weeks to Go","noncompetitive",-1,1,-0.004,0.655704016647561,0.344295983352439,-0.311408033295121
"1363",1363,"TVPoll.com","9/26-28/08","9/26/2008","9/28/2008",904,"LV",68,27,"-","-","-","6","+41R",2008,"OK",37,39,38,0.284,0.716,0.343,0.657,5.9,NA,NA,NA,NA,NA,"TVPoll.com",-31,-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 Weeks to Go","noncompetitive",10,10,0.059,0.655704016647561,0.344295983352439,-0.311408033295121
"1364",1364,"TVPoll.com","9/20-22/08","9/20/2008","9/22/2008",667,"LV",66,26,"-","-","-","8","+40R",2008,"OK",43,45,44,0.283,0.717,0.343,0.657,6,NA,NA,NA,NA,NA,"TVPoll.com",-31,-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",9,9,0.06,0.655704016647561,0.344295983352439,-0.311408033295121
"1365",1365,"Research 2000/DailyKos.com (D)","9/16-18/08","9/16/2008","9/18/2008",600,"LV",59,36,"-","-","-","5","+23R",2008,"OK",47,49,48,0.379,0.621,0.343,0.657,3.6,NA,NA,NA,NA,NA,"Research 2000/DailyKos.com (D)",-31,-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",-8,8,-0.036,0.655704016647561,0.344295983352439,-0.311408033295121
"1366",1366,"ARG","9/15-18/08","9/15/2008","9/18/2008",600,"LV",61,34,"-","-","0","5","+27R",2008,"OK",47,50,48.5,0.358,0.642,0.343,0.657,1.5,NA,NA,NA,NA,NA,"ARG",-31,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",-4,4,-0.015,0.655704016647561,0.344295983352439,-0.311408033295121
"1367",1367,"TVPoll.com","9/14/2008","9/14/2008","9/14/2008",859,"LV",69,27,"-","-","-","4","+42R",2008,"OK",51,51,51,0.281,0.719,0.343,0.657,6.2,NA,NA,NA,NA,NA,"TVPoll.com",-31,-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","noncompetitive",11,11,0.062,0.655704016647561,0.344295983352439,-0.311408033295121
